Nr,exercise,question,answer,german,english,french,explanation_english,explanation_french
1,1,_____ Montag,der,der Montag,Monday,Lundi,days of the week are Masculine,les jours de la semaine sont Masculins
2,2,_____ Dienstag,der,der Dienstag,Tuesday,Mardi,days of the week are Masculine,les jours de la semaine sont Masculins
3,3,_____ Mittwoch,der,der Mittwoch,Wednesday,Mercredi,days of the week are Masculine,les jours de la semaine sont Masculins
4,4,_____ Freitag,der,der Freitag,Friday,Vendredi,days of the week are Masculine,les jours de la semaine sont Masculins
5,1,_____ Donnerstag,der,der Donnerstag,Thursday,Jeudi,days of the week are Masculine,les jours de la semaine sont Masculins
6,2,_____ Samstag,der,der Samstag,Saturday,Samedi,days of the week are Masculine,les jours de la semaine sont Masculins
7,3,_____ Sonntag,der,der Sonntag,Sunday,Dimanche,days of the week are Masculine,les jours de la semaine sont Masculins
8,4,_____ Abend,der,der Abend,the evening,la soirée,parts of the day are mostly Masculine,les parties de la journée sont principalement Masculines.
9,1,_____ Morgen,der,der Morgen,the morning,le matin,parts of the day are mostly Masculine,les parties de la journée sont principalement Masculines.
10,2,_____ Vormittag,der,der Vormittag,the morning,le matin,parts of the day are mostly Masculine,les parties de la journée sont principalement Masculines.
11,3,_____ Nachmittag,der,der Nachmittag,the afternoon,l'après-midi,parts of the day are mostly Masculine,les parties de la journée sont principalement Masculines.
12,4,_____ Januar,der,der Januar,January,Janvier,months are Masculine,les mois sont Masculins
13,1,_____ Februar,der,der Februar,February,Février,months are Masculine,les mois sont Masculins
14,2,_____ März,der,der März,March,Mars,months are Masculine,les mois sont Masculins
15,3,_____ April,der,der April,April,Avril,months are Masculine,les mois sont Masculins
16,4,_____ Mai,der,der Mai,May,Peut,months are Masculine,les mois sont Masculins
17,1,_____ Juni,der,der Juni,June,Juin,months are Masculine,les mois sont Masculins
18,2,_____ Juli,der,der Juli,July,Juillet,months are Masculine,les mois sont Masculins
19,3,_____ August,der,der August,August,Août,months are Masculine,les mois sont Masculins
20,4,_____ September,der,der September,September,Septembre,months are Masculine,les mois sont Masculins
21,1,_____ Oktober,der,der Oktober,October,Octobre,months are Masculine,les mois sont Masculins
22,2,_____ November,der,der November,November,Novembre,months are Masculine,les mois sont Masculins
23,3,_____ Dezember,der,der Dezember,December,Décembre,months are Masculine,les mois sont Masculins
24,4,_____ Herbst,der,der Herbst,the autumn,l'automne,seasons are Masculine,les saisons sont Masculines
25,1,_____ Sommer,der,der Sommer,the summer,l'été,seasons are Masculine,les saisons sont Masculines
26,2,_____ Winter,der,der Winter,the winter,l'hiver,seasons are Masculine,les saisons sont Masculines
