unit,input,output,level,comment_english,comment_french
adjektive,günstig,billig,,,
adjektive,still,billig,,,
adjektive,blöd,dumm,,,
adjektive,schmal,eng,,,
adjektive,ernsthaft,ernst,,,
adjektive,phantastisch,fantastisch,,,
adjektive,farbig,färbig,,,
adjektive,ausländisch,fremd,,,
adjektive,froh,glücklich,,,
adjektive,fröhlich,glücklich,,,
adjektive,intelligent,klug,,,
adjektive,wahrscheinlich,möglich,,,
adjektive,nahe,nah,,,
adjektive,selbstverständlich,natürlich,,,
adjektive,gering,nedrig,,,
adjektive,nicht genauso,nicht so,,,
adjektive,erforderlich,notwendig,,,
adjektive,nötig,notwendig,,,
adjektive,korrekt,richtig,,,
adjektive,leise,ruhig,,,
adjektive,bös,schlecht,,,
adjektive,schlimm,schlecht,,,
adjektive,selbständig,selbstständig,,,
adjektive,ebenso,so,,,
adjektive,genauso,so,,,
adjektive,so genannt,sogenannt,,,
adjektive,kräftig,stark,,,
adjektive,super,toll,,,
adjektive,andere,unterschiedlich,,,
adjektive,anders,unterschiedlich,,,
adjektive,zuständig,verantwortlich,,,
adjektive,waagrecht,waagerecht,,,
adjektive,weltenweit,weltweit,,,
adverbien,da,dort,A1,,
adverbien,draußen,außen,A2,,
adverbien,gerne,gern,A2,,
adverbien,drinnen,innen,A2,,
adverbien,normalerweise,meistens,A2,,
adverbien,wenigstens,mindestens,A2,,
adverbien,häufig,oft,A2,,
adverbien,ca.,circa,B1,,
adverbien,zirka,circa,B1,,
adverbien,dort drüben,da drüben,B1,,
adverbien,drüben,da drüben,B1,,
adverbien,nachher,danach,B1,,
adverbien,tatsächlich,eigentlich,B1,,
adverbien,überhaupt nicht,gar nicht,B1,,
adverbien,heute früh,heute Morgen,B1,,
adverbien,heute Vormittag,heute Morgen,B1,,
adverbien,unglücklicherweise,leider,B1,,
adverbien,selbstverständlich,natürlich,B1,,
adverbien,bereits,schon,B1,,
adverbien,kürzlich,vor kurzem,B1,,
adverbien,neulich,vor kurzem,B1,,
adverbien,davor,vorher,B1,,
adverbien,zuvor,vorher,B1,,
adverbien,vorne,vorn,B1,,
adverbien,ganz,ziemlich,B1,,
adverbien,zu Hause,zuhause,B1,,
adverbien,in der Zukunft,zukünftig,B1,,
adverbien,anfänglich,anfangs,B2,,
adverbien,insbesondere,besonders,B2,,
adverbien,vor allem,besonders,B2,,
adverbien,bzw,beziehungsweise,B2,,
adverbien,bzw.,beziehungsweise,B2,,
adverbien,bislang,bisher,B2,,
adverbien,etwa,circa,B2,,
adverbien,auf dauer,dauerhaft,B2,,
adverbien,permanent,dauerhaft,B2,,
adverbien,nun,jetzt,B2,,
adverbien,zumindest,mindestens,B2,,
adverbien,nirgends,nirgendwo,B2,,
adverbien,nirgendswo,nirgendwo,B2,,
adverbien,seitdem,seither,B2,,
adverbien,usw,und so weiter,B2,,
adverbien,usw.,und so weiter,B2,,
adverbien,nochmal,wieder,B2,,
adverbien,derzeit,zurzeit,B2,,
adverbien,momentan,zurzeit,B2,,
adverbien,fortan,ab jetzt,C1,formal,
adverbien,nunmehr,ab jetzt,C1,formal,
adverbien,bisweilen,ab und zu,C1,,
adverbien,mitunter,ab und zu,C1,,
adverbien,von Zeit zu Zeit,ab und zu,C1,,
adverbien,zuweilen,ab und zu,C1,,
adverbien,wiedermal,abermals,C1,,
adverbien,bergab,abwärts,C1,,
adverbien,bestenfalls,allenfalls,C1,,
adverbien,an und für sich,an sich,C1,,
adverbien,woanders,anderswo,C1,,
adverbien,absolut,auf jeden Fall,C1,,
adverbien,durchaus,auf jeden Fall,C1,,
adverbien,unbedingt,auf jeden Fall,C1,,
adverbien,bergauf,aufwärts,C1,,
adverbien,empor,aufwärts,C1,,
adverbien,außergewöhnlich,ausnahmsweise,C1,,
adverbien,überaus,äußerst,C1,,
adverbien,demnächst,bald,C1,,
adverbien,bis dato,bisher,C1,,
adverbien,ungefähr,circa,C1,,
adverbien,dorther,daher,C1,,
adverbien,dorthin,dahin,C1,,
adverbien,anschließend,danach,C1,,
adverbien,hernach,danach,C1,,
adverbien,hinterher,danach,C1,,
adverbien,unmittelbar,direkt,C1,,
adverbien,einst,einmal,C1,,
adverbien,beinahe,fast,C1,,
adverbien,nahezu,fast,C1,,
adverbien,quasi,fast,C1,,
adverbien,ehrenamtlich,freiwillig,C1,,
adverbien,von sich aus,freiwillig,C1,,
adverbien,zugleich,gleichzeitig,C1,,
adverbien,angenehmerweise,glücklicherweise,C1,,
adverbien,erfreulicherweise,glücklicherweise,C1,,
adverbien,im Prinzip,grundsätzlich,C1,,
adverbien,vornehmlich,hauptsächlich,C1,formal,
adverbien,rauf,herauf,C1,,
adverbien,raus,heraus,C1,,
adverbien,rein,herein,C1,,
adverbien,herab,herunter,C1,,
adverbien,runter,herunter,C1,,
adverbien,heut,heute,C1,,
adverbien,vor und zurück,hin und her,C1,,
adverbien,hinab,hinunter,C1,,
adverbien,vorab,im voraus,C1,,
