Nr,exercise,question,answer,german,english,french,explanation_english,explanation_french
1,1,Mein Bruder ist _____ groß wie ich.,so/genauso/ebenso,Mein Bruder ist so groß wie ich.,My brother is as tall as I am.,Mon frère est aussi grand que moi.,"to express an equal comparison – ""<i>as ... as</i>"" → so ... wie","pour exprimer une comparaison d'égalité – ""<i>aussi ... que</i>"" → so ... wie"
2,1,Das Essen hier ist _____ lecker wie in Italien.,so/genauso/ebenso,Das Essen hier ist so lecker wie in Italien.,The food here is as delicious as in Italy.,La nourriture ici est aussi délicieuse qu'en Italie.,"to express an equal comparison – ""<i>as ... as</i>"" → so ... wie","pour exprimer une comparaison d'égalité – ""<i>aussi ... que</i>"" → so ... wie"
3,1,Der Park ist _____ schön wie der Garten.,so/genauso/ebenso,Der Park ist so schön wie der Garten.,The park is as beautiful as the garden.,Le parc est aussi beau que le jardin.,"to express an equal comparison – ""<i>as ... as</i>"" → so ... wie","pour exprimer une comparaison d'égalité – ""<i>aussi ... que</i>"" → so ... wie"
4,1,Dieser Film ist _____ spannend wie der letzte.,so/genauso/ebenso,Dieser Film ist so spannend wie der letzte.,This movie is as exciting as the last one.,Ce film est aussi passionnant que le dernier.,"to express an equal comparison – ""<i>as ... as</i>"" → so ... wie","pour exprimer une comparaison d'égalité – ""<i>aussi ... que</i>"" → so ... wie"
5,1,Sie ist _____ freundlich wie ihre Schwester.,so/genauso/ebenso,Sie ist so freundlich wie ihre Schwester.,She is as friendly as her sister.,Elle est aussi amicale que sa sœur.,"to express an equal comparison – ""<i>as ... as</i>"" → so ... wie","pour exprimer une comparaison d'égalité – ""<i>aussi ... que</i>"" → so ... wie"
6,1,Peter ist größer _____ sein Bruder.,als,Peter ist größer als sein Bruder.,Peter is taller than his brother.,Peter est plus grand que son frère.,"to express an unequal comparison – ""<i>than</i>"" → als","pour exprimer une comparaison inégale – ""<i>que</i>"" → als"
7,1,Das Auto ist schneller _____ das Fahrrad.,als,Das Auto ist schneller als das Fahrrad.,The car is faster than the bike.,La voiture est plus rapide que le vélo.,"to express an unequal comparison – ""<i>than</i>"" → als","pour exprimer une comparaison inégale – ""<i>que</i>"" → als"
8,1,Diese Aufgabe ist schwieriger _____ die letzte.,als,Diese Aufgabe ist schwieriger als die letzte.,This task is more difficult than the last one.,Cette tâche est plus difficile que la dernière.,"to express an unequal comparison – ""<i>than</i>"" → als","pour exprimer une comparaison inégale – ""<i>que</i>"" → als"
9,1,Der Urlaub in den Bergen war besser _____ am Strand.,als,Der Urlaub in den Bergen war besser als am Strand.,The vacation in the mountains was better than at the beach.,Les vacances à la montagne étaient meilleures qu'à la plage.,"to express an unequal comparison – ""<i>than</i>"" → als","pour exprimer une comparaison inégale – ""<i>que</i>"" → als"
10,1,Das Buch ist interessanter _____ der Film.,als,Das Buch ist interessanter als der Film.,The book is more interesting than the movie.,Le livre est plus intéressant que le film.,"to express an unequal comparison – ""<i>than</i>"" → als","pour exprimer une comparaison inégale – ""<i>que</i>"" → als"
11,1,Du bist so stark _____ dein Bruder.,wie,Du bist so stark wie dein Bruder.,You are as strong as your brother.,Tu es aussi fort que ton frère.,"to express an equal comparison – ""<i>as ... as</i>"" → so ... wie","pour exprimer une comparaison d'égalité – ""<i>aussi ... que</i>"" → so ... wie"
12,1,Dieses Kleid ist genauso schön _____ das andere.,wie,Dieses Kleid ist genauso schön wie das andere.,This dress is just as beautiful as the other one.,Cette robe est tout aussi belle que l'autre.,"to express an equal comparison – ""<i>as ... as</i>"" → so ... wie","pour exprimer une comparaison d'égalité – ""<i>aussi ... que</i>"" → so ... wie"
13,1,Der Film war so spannend _____ das Buch.,wie,Der Film war so spannend wie das Buch.,The movie was as exciting as the book.,Le film était aussi passionnant que le livre.,"to express an equal comparison – ""<i>as ... as</i>"" → so ... wie","pour exprimer une comparaison d'égalité – ""<i>aussi ... que</i>"" → so ... wie"
14,1,Das Wetter ist heute genauso schlecht _____ gestern.,wie,Das Wetter ist heute genauso schlecht wie gestern.,The weather today is just as bad as yesterday.,Le temps aujourd'hui est aussi mauvais qu'hier.,"to express an equal comparison – ""<i>as ... as</i>"" → so ... wie","pour exprimer une comparaison d'égalité – ""<i>aussi ... que</i>"" → so ... wie"
