Nr,exercise,question,answer,german,adjective,gender,case,article,
1,1,der _____ Vater,nette,der nette Vater,nett,Maskulin,Nominativ,Bestimmt artikel,
2,1,die _____ Mutter,nette,die nette Mutter,nett,Feminin,Nominativ,Bestimmt artikel,
3,1,das _____ Kind,nette,das nette Kind,nett,Neuter,Nominativ,Bestimmt artikel,
4,1,die _____ Eltern,netten,die netten Eltern,nett,Plural,Nominativ,Bestimmt artikel,
5,1,ein _____ Vater,netter,ein netter Vater,nett,Maskulin,Nominativ,Unbestimmt artikel,
6,1,eine _____ Mutter,nette,eine nette Mutter,nett,Feminin,Nominativ,Unbestimmt artikel,
7,1,ein _____ Kind,nettes,ein nettes Kind,nett,Neuter,Nominativ,Unbestimmt artikel,
8,1,Ø _____ Vater,netter,netter Vater,nett,Maskulin,Nominativ,Nullartikel,
9,1,Ø _____ Mutter,nette,nette Mutter,nett,Feminin,Nominativ,Nullartikel,
10,1,Ø _____ Kind,nettes,nettes Kind,nett,Neuter,Nominativ,Nullartikel,
11,1,Ø _____ Eltern,nette,nette Eltern,nett,Plural,Nominativ,Nullartikel,
12,3,den _____ Vater,netten,den netten Vater,nett,Maskulin,Akkusativ,Bestimmt artikel,
13,3,die _____ Mutter,nette,die nette Mutter,nett,Feminin,Akkusativ,Bestimmt artikel,
14,3,das _____ Kind,nette,das nette Kind,nett,Neuter,Akkusativ,Bestimmt artikel,
15,3,die _____ Eltern,netten,die netten Eltern,nett,Plural,Akkusativ,Bestimmt artikel,
16,3,einen _____ Vater,netten,einen netten Vater,nett,Maskulin,Akkusativ,Unbestimmt artikel,
17,3,eine _____ Mutter,nette,eine nette Mutter,nett,Feminin,Akkusativ,Unbestimmt artikel,
18,3,ein _____ Kind,nettes,ein nettes Kind,nett,Neuter,Akkusativ,Unbestimmt artikel,
19,3,Ø _____ Vater,netten,netten Vater,nett,Maskulin,Akkusativ,Nullartikel,
20,3,Ø _____ Mutter,nette,nette Mutter,nett,Feminin,Akkusativ,Nullartikel,
21,3,Ø _____ Kind,nettes,nettes Kind,nett,Neuter,Akkusativ,Nullartikel,
22,3,Ø _____ Eltern,nette,nette Eltern,nett,Plural,Akkusativ,Nullartikel,
23,5,dem _____ Vater,netten,dem netten Vater,nett,Maskulin,Dativ,Bestimmt artikel,
24,5,der _____ Mutter,netten,der netten Mutter,nett,Feminin,Dativ,Bestimmt artikel,
25,5,dem _____ Kind,netten,dem netten Kind,nett,Neuter,Dativ,Bestimmt artikel,
26,5,den _____ Eltern,netten,den netten Eltern,nett,Plural,Dativ,Bestimmt artikel,
27,5,einem _____ Vater,netten,einem netten Vater,nett,Maskulin,Dativ,Unbestimmt artikel,
28,5,einer _____ Mutter,netten,einer netten Mutter,nett,Feminin,Dativ,Unbestimmt artikel,
29,5,einem _____ Kind,netten,einem netten Kind,nett,Neuter,Dativ,Unbestimmt artikel,
30,5,Ø _____ Vater,nettem,nettem Vater,nett,Maskulin,Dativ,Nullartikel,
31,5,Ø _____ Mutter,netter,netter Mutter,nett,Feminin,Dativ,Nullartikel,
32,5,Ø _____ Kind,nettem,nettem Kind,nett,Neuter,Dativ,Nullartikel,
33,5,Ø _____ Eltern,netten,netten Eltern,nett,Plural,Dativ,Nullartikel,
34,2,Ein _____ Lehrer erklärt die Grammatik sehr gut.,kluger,Ein kluger Lehrer erklärt die Grammatik sehr gut.,klug,Maskulin,Nominativ,Unbestimmt,
35,2,Ein _____ Hund schläft den ganzen Tag.,alter,Ein alter Hund schläft den ganzen Tag.,alt,Maskulin,Nominativ,Unbestimmt,
36,2,Ein _____ Baum steht im Garten.,schöner,Ein schöner Baum steht im Garten.,schön,Maskulin,Nominativ,Unbestimmt,
37,2,Ein _____ Student lernt jeden Abend Deutsch.,fleißiger,Ein fleißiger Student lernt jeden Abend Deutsch.,fleißig,Maskulin,Nominativ,Unbestimmt,
38,2,Ein _____ Kellner bringt das Essen schnell.,freundlicher,Ein freundlicher Kellner bringt das Essen schnell.,freundlich,Maskulin,Nominativ,Unbestimmt,
39,2,Das _____ Kind stellt viele Fragen.,kluge,Das kluge Kind stellt viele Fragen.,klug,Neuter,Nominativ,Bestimmt,
40,2,Das _____ Buch liegt auf dem Tisch.,alte,Das alte Buch liegt auf dem Tisch.,alt,Neuter,Nominativ,Bestimmt,
41,2,Das _____ Bild hängt an der Wand.,schöne,Das schöne Bild hängt an der Wand.,schön,Neuter,Nominativ,Bestimmt,
42,2,Das _____ Mädchen macht ihre Hausaufgaben.,fleißige,Das fleißige Mädchen macht ihre Hausaufgaben.,fleißig,Neuter,Nominativ,Bestimmt,
43,2,Das _____ Lächeln macht ihn sympathisch.,freundliche,Das freundliche Lächeln macht ihn sympathisch.,freundlich,Neuter,Nominativ,Bestimmt,
