Nr,exercise,question,answer,german,english,person,case,gender
1,1,Heute bin _____ sehr müde.,ich,Heute bin ich sehr müde.,,I,Nominativ,
2,1,Am Wochenende gehe _____ oft wandern.,ich,Am Wochenende gehe ich oft wandern.,,I,Nominativ,
3,1,"_____ mag es, neue Sprachen zu lernen.",Ich,"Ich mag es, neue Sprachen zu lernen.",,I,Nominativ,
4,1,Nach dem Frühstück lese _____ ein Buch.,ich,Nach dem Frühstück lese ich ein Buch.,,I,Nominativ,
5,1,Im Kino habe _____ einen tollen Film gesehen.,ich,Im Kino habe ich einen tollen Film gesehen.,,I,Nominativ,
6,1,Heute bist _____ sehr freundlich.,du,Heute bist du sehr freundlich.,,You (Singular),Nominativ,
7,1,Am Wochenende gehst _____ oft joggen.,du,Am Wochenende gehst du oft joggen.,,You (Singular),Nominativ,
8,1,_____ kannst gut singen und tanzen.,Du,Du kannst gut singen und tanzen.,,You (Singular),Nominativ,
9,1,Nach dem Frühstück liest _____ manchmal ein Buch.,du,Nach dem Frühstück liest du manchmal ein Buch.,,You (Singular),Nominativ,
10,1,Im Kino hast _____ einen spannenden Film gesehen.,du,Im Kino hast du einen spannenden Film gesehen.,,You (Singular),Nominativ,
11,1,Heute ist _____ sehr pünktlich angekommen.,er,Heute ist er sehr pünktlich angekommen.,,He (Maskulin),Nominativ,
12,1,Im Garten pflanzt _____ neue Blumen.,er,Im Garten pflanzt er neue Blumen.,,He (Maskulin),Nominativ,
13,1,"_____ liebt es, im Sommer zu wandern.",Er,"Er liebt es, im Sommer zu wandern.",,He (Maskulin),Nominativ,
14,1,Nach der Arbeit liest _____ gerne die Zeitung.,er,Nach der Arbeit liest er gerne die Zeitung.,,He (Maskulin),Nominativ,
15,1,Am Wochenende spielt _____ immer Fußball mit Freunden.,er,Am Wochenende spielt er immer Fußball mit Freunden.,,He (Maskulin),Nominativ,
16,1,Heute trägt _____ ein schönes Kleid.,sie,Heute trägt sie ein schönes Kleid.,,She (Feminin),Nominativ,
17,1,Nach der Arbeit ruht _____ sich meistens aus.,sie,Nach der Arbeit ruht sie sich meistens aus.,,She (Feminin),Nominativ,
18,1,_____ kocht gerne für ihre Familie.,Sie,Sie kocht gerne für ihre Familie.,,She (Feminin),Nominativ,
